Title,Pay scale,Annual Rate,Hourly Rate
RESEARCH ASSISTANT,1,41918,20.15
RESEARCH ASSISTANT,2,42994,20.67
RESEARCH ASSISTANT,3,43545,20.94
RESEARCH ASSISTANT,4,44673,21.48
RESEARCH ASSISTANT,5,45831,22.03
RESEARCH ASSISTANT,6,47025,22.61
RESEARCH ASSISTANT,7,48258,23.2
RESEARCH ASSISTANT,8,49075,23.59
RESEARCH ASSISTANT,9,50333,24.2
RESEARCH ASSISTANT,10,51395,24.71
RESEARCH ASSISTANT,11,52260,25.13
RESEARCH ASSISTANT,12,53614,25.78
RESEARCH ASSISTANT,13,55008,26.45
